crop,x,y,w,h
0,104,0,77,77
1,106,161,77,77
2,109,322,77,77
3,111,483,77,77
4,114,643,77,77
5,116,804,77,77
6,119,965,77,77
7,121,1126,77,77
8,123,1287,77,77
9,126,1448,77,77
10,128,1608,77,77
11,131,1769,77,77
12,133,1930,77,77
13,267,158,77,77
14,270,319,77,77
15,272,480,77,77
16,275,641,77,77
17,277,802,77,77
18,279,963,77,77
19,282,1123,77,77
20,284,1284,77,77
21,287,1445,77,77
22,289,1606,77,77
23,291,1767,77,77
24,294,1928,77,77
25,428,156,77,77
26,431,317,77,77
27,433,478,77,77
28,435,639,77,77
29,438,799,77,77
30,440,960,77,77
31,443,1121,77,77
32,445,1282,77,77
33,447,1443,77,77
34,450,1604,77,77
35,452,1764,77,77
36,455,1925,77,77
37,589,154,77,77
38,591,314,77,77
39,594,475,77,77
40,596,636,77,77
41,599,797,77,77
42,601,958,77,77
43,603,1119,77,77
44,606,1279,77,77
45,608,1440,77,77
46,611,1601,77,77
47,613,1762,77,77
48,616,1923,77,77
49,750,151,77,77
50,752,312,77,77
51,755,473,77,77
52,757,634,77,77
53,759,795,77,77
54,762,955,77,77
55,764,1116,77,77
56,767,1277,77,77
57,769,1438,77,77
58,772,1599,77,77
59,774,1760,77,77
60,776,1920,77,77
61,911,149,77,77
62,913,310,77,77
63,915,470,77,77
64,918,631,77,77
65,920,792,77,77
66,923,953,77,77
67,925,1114,77,77
68,928,1275,77,77
69,930,1435,77,77
70,932,1596,77,77
71,935,1757,77,77
72,937,1918,77,77
73,1071,146,77,77
74,1074,307,77,77
75,1076,468,77,77
76,1079,629,77,77
77,1081,790,77,77
78,1084,951,77,77
79,1086,1111,77,77
80,1088,1272,77,77
81,1091,1433,77,77
82,1093,1594,77,77
83,1096,1755,77,77
84,1098,1916,77,77
85,1232,144,77,77
86,1235,305,77,77
87,1237,466,77,77
88,1240,626,77,77
89,1242,787,77,77
90,1244,948,77,77
91,1247,1109,77,77
92,1249,1270,77,77
93,1252,1431,77,77
94,1254,1591,77,77
95,1256,1752,77,77
96,1259,1913,77,77
97,1393,142,77,77
98,1396,302,77,77
99,1398,463,77,77
100,1400,624,77,77
101,1403,785,77,77
102,1405,946,77,77
103,1408,1107,77,77
104,1410,1267,77,77
105,1412,1428,77,77
106,1415,1589,77,77
107,1417,1750,77,77
108,1420,1911,77,77
109,1554,139,77,77
110,1556,300,77,77
111,1559,461,77,77
112,1561,622,77,77
113,1564,782,77,77
114,1566,943,77,77
115,1568,1104,77,77
116,1571,1265,77,77
117,1573,1426,77,77
118,1576,1587,77,77
119,1578,1747,77,77
120,1581,1908,77,77
121,1715,137,77,77
122,1717,298,77,77
123,1720,458,77,77
124,1722,619,77,77
125,1724,780,77,77
126,1727,941,77,77
127,1729,1102,77,77
128,1732,1263,77,77
129,1734,1423,77,77
130,1737,1584,77,77
131,1739,1745,77,77
132,1741,1906,77,77
133,1876,134,77,77
134,1878,295,77,77
135,1880,456,77,77
136,1883,617,77,77
137,1885,778,77,77
138,1888,938,77,77
139,1890,1099,77,77
140,1893,1260,77,77
141,1895,1421,77,77
142,1897,1582,77,77
143,1900,1743,77,77
144,1902,1903,77,77
