crop,x,y,w,h
0,23,1953,77,77
1,17,1754,77,77
2,77,1852,77,77
3,138,1950,77,77
4,11,1554,77,77
5,71,1652,77,77
6,132,1750,77,77
7,193,1848,77,77
8,253,1947,77,77
9,5,1354,77,77
10,65,1452,77,77
11,126,1551,77,77
12,187,1649,77,77
13,247,1747,77,77
14,308,1845,77,77
15,369,1943,77,77
16,59,1253,77,77
17,120,1351,77,77
18,181,1449,77,77
19,241,1547,77,77
20,302,1645,77,77
21,363,1743,77,77
22,423,1842,77,77
23,484,1940,77,77
24,53,1053,77,77
25,114,1151,77,77
26,175,1249,77,77
27,235,1347,77,77
28,296,1445,77,77
29,357,1544,77,77
30,417,1642,77,77
31,478,1740,77,77
32,539,1838,77,77
33,599,1936,77,77
34,47,853,77,77
35,108,951,77,77
36,169,1049,77,77
37,229,1148,77,77
38,290,1246,77,77
39,351,1344,77,77
40,411,1442,77,77
41,472,1540,77,77
42,533,1638,77,77
43,593,1736,77,77
44,654,1835,77,77
45,715,1933,77,77
46,41,653,77,77
47,102,751,77,77
48,163,850,77,77
49,223,948,77,77
50,284,1046,77,77
51,345,1144,77,77
52,405,1242,77,77
53,466,1340,77,77
54,527,1439,77,77
55,587,1537,77,77
56,648,1635,77,77
57,709,1733,77,77
58,769,1831,77,77
59,830,1929,77,77
60,35,454,77,77
61,96,552,77,77
62,157,650,77,77
63,217,748,77,77
64,278,846,77,77
65,339,944,77,77
66,399,1042,77,77
67,460,1141,77,77
68,521,1239,77,77
69,581,1337,77,77
70,642,1435,77,77
71,703,1533,77,77
72,763,1631,77,77
73,824,1730,77,77
74,885,1828,77,77
75,945,1926,77,77
76,29,254,77,77
77,90,352,77,77
78,151,450,77,77
79,211,548,77,77
80,272,646,77,77
81,333,745,77,77
82,393,843,77,77
83,454,941,77,77
84,515,1039,77,77
85,575,1137,77,77
86,636,1235,77,77
87,697,1333,77,77
88,757,1432,77,77
89,818,1530,77,77
90,879,1628,77,77
91,939,1726,77,77
92,1000,1824,77,77
93,1061,1922,77,77
94,23,54,77,77
95,84,152,77,77
96,145,250,77,77
97,205,348,77,77
98,266,447,77,77
99,327,545,77,77
100,387,643,77,77
101,448,741,77,77
102,509,839,77,77
103,569,937,77,77
104,630,1036,77,77
105,691,1134,77,77
106,751,1232,77,77
107,812,1330,77,77
108,873,1428,77,77
109,933,1526,77,77
110,994,1624,77,77
111,1055,1723,77,77
112,1115,1821,77,77
113,1176,1919,77,77
114,139,51,77,77
115,199,149,77,77
116,260,247,77,77
117,321,345,77,77
118,381,443,77,77
119,442,541,77,77
120,503,639,77,77
121,563,738,77,77
122,624,836,77,77
123,685,934,77,77
124,745,1032,77,77
125,806,1130,77,77
126,867,1228,77,77
127,927,1327,77,77
128,988,1425,77,77
129,1049,1523,77,77
130,1109,1621,77,77
131,1170,1719,77,77
132,1231,1817,77,77
133,1291,1915,77,77
134,254,47,77,77
135,315,145,77,77
136,375,243,77,77
137,436,342,77,77
138,497,440,77,77
139,557,538,77,77
140,618,636,77,77
141,679,734,77,77
142,739,832,77,77
143,800,930,77,77
144,861,1029,77,77
145,921,1127,77,77
146,982,1225,77,77
147,1043,1323,77,77
148,1103,1421,77,77
149,1164,1519,77,77
150,1225,1618,77,77
151,1285,1716,77,77
152,1346,1814,77,77
153,1407,1912,77,77
154,369,44,77,77
155,430,142,77,77
156,491,240,77,77
157,551,338,77,77
158,612,436,77,77
159,673,534,77,77
160,733,633,77,77
161,794,731,77,77
162,855,829,77,77
163,915,927,77,77
164,976,1025,77,77
165,1037,1123,77,77
166,1097,1221,77,77
167,1158,1320,77,77
168,1219,1418,77,77
169,1279,1516,77,77
170,1340,1614,77,77
171,1401,1712,77,77
172,1461,1810,77,77
173,1522,1909,77,77
174,485,40,77,77
175,545,138,77,77
176,606,236,77,77
177,667,335,77,77
178,727,433,77,77
179,788,531,77,77
180,849,629,77,77
181,909,727,77,77
182,970,825,77,77
183,1031,924,77,77
184,1091,1022,77,77
185,1152,1120,77,77
186,1213,1218,77,77
187,1273,1316,77,77
188,1334,1414,77,77
189,1395,1512,77,77
190,1455,1611,77,77
191,1516,1709,77,77
192,1577,1807,77,77
193,1637,1905,77,77
194,600,37,77,77
195,661,135,77,77
196,721,233,77,77
197,782,331,77,77
198,843,429,77,77
199,903,527,77,77
200,964,626,77,77
201,1025,724,77,77
202,1085,822,77,77
203,1146,920,77,77
204,1207,1018,77,77
205,1267,1116,77,77
206,1328,1215,77,77
207,1389,1313,77,77
208,1449,1411,77,77
209,1510,1509,77,77
210,1571,1607,77,77
211,1631,1705,77,77
212,1692,1803,77,77
213,1753,1902,77,77
214,715,33,77,77
215,776,131,77,77
216,837,230,77,77
217,897,328,77,77
218,958,426,77,77
219,1019,524,77,77
220,1079,622,77,77
221,1140,720,77,77
222,1201,818,77,77
223,1261,917,77,77
224,1322,1015,77,77
225,1383,1113,77,77
226,1443,1211,77,77
227,1504,1309,77,77
228,1565,1407,77,77
229,1625,1506,77,77
230,1686,1604,77,77
231,1747,1702,77,77
232,1807,1800,77,77
233,1868,1898,77,77
234,831,30,77,77
235,891,128,77,77
236,952,226,77,77
237,1013,324,77,77
238,1073,422,77,77
239,1134,521,77,77
240,1195,619,77,77
241,1255,717,77,77
242,1316,815,77,77
243,1377,913,77,77
244,1437,1011,77,77
245,1498,1109,77,77
246,1559,1208,77,77
247,1619,1306,77,77
248,1680,1404,77,77
249,1741,1502,77,77
250,1801,1600,77,77
251,1862,1698,77,77
252,1923,1797,77,77
253,946,26,77,77
254,1007,124,77,77
255,1067,223,77,77
256,1128,321,77,77
257,1189,419,77,77
258,1249,517,77,77
259,1310,615,77,77
260,1371,713,77,77
261,1431,812,77,77
262,1492,910,77,77
263,1553,1008,77,77
264,1613,1106,77,77
265,1674,1204,77,77
266,1735,1302,77,77
267,1795,1400,77,77
268,1856,1499,77,77
269,1917,1597,77,77
270,1061,23,77,77
271,1122,121,77,77
272,1183,219,77,77
273,1243,317,77,77
274,1304,415,77,77
275,1365,514,77,77
276,1425,612,77,77
277,1486,710,77,77
278,1547,808,77,77
279,1607,906,77,77
280,1668,1004,77,77
281,1729,1103,77,77
282,1789,1201,77,77
